handle	kind	int_alias	ts_alias	new_path	old_path
botom	TE	TE-14	TE-20260428-080000	docs/thought-experiments/TE-botom-harness-spec-change-walks-through-unified-flow.md	docs/thought-experiments/TE-20260428-080000-harness-spec-change-walks-through-unified-flow.md
dodaf	TE	TE-15	TE-20260428-094500	docs/thought-experiments/TE-dodaf-should-this-design-become-promisegrid-readme.md	docs/thought-experiments/TE-20260428-094500-should-this-design-become-promisegrid-readme.md
dutaz	TODO	TODO-1	TODO-20260429-030146	protocols/wire-lab.d/TODO/TODO-dutaz-perplexity-computer-onboarding.md	protocols/wire-lab.d/TODO/TODO-20260429-030146-perplexity-computer-onboarding.md
lodar	TE	TE-16	TE-20260429-033208	docs/thought-experiments/TE-lodar-review-feedback-as-contest-artifact.md	docs/thought-experiments/TE-20260429-033208-review-feedback-as-contest-artifact.md
fofas	TODO	TODO-2	TODO-20260429-033416	protocols/wire-lab.d/TODO/TODO-fofas-review-feedback-as-contest-artifact.md	protocols/wire-lab.d/TODO/TODO-20260429-033416-review-feedback-as-contest-artifact.md
mirah	TE	TE-17	TE-20260429-162212	docs/thought-experiments/TE-mirah-review-reply-as-promise.md	docs/thought-experiments/TE-20260429-162212-review-reply-as-promise.md
kavug	TODO	TODO-3	TODO-20260429-162412	protocols/wire-lab.d/TODO/TODO-kavug-review-reply-as-promise.md	protocols/wire-lab.d/TODO/TODO-20260429-162412-review-reply-as-promise.md
gogom	TODO	TODO-4	TODO-20260429-163909	protocols/wire-lab.d/TODO/TODO-gogom-eradicate-burden.md	protocols/wire-lab.d/TODO/TODO-20260429-163909-eradicate-burden.md
rivuk	TODO	TODO-5	TODO-20260429-164955	protocols/wire-lab.d/TODO/TODO-rivuk-te-promise-stack-ordering.md	protocols/wire-lab.d/TODO/TODO-20260429-164955-te-promise-stack-ordering.md
lusut	TE	TE-18	TE-20260429-165101	docs/thought-experiments/TE-lusut-bot-identity-and-branch-prefix.md	docs/thought-experiments/TE-20260429-165101-bot-identity-and-branch-prefix.md
mipat	TE	TE-19	TE-20260429-165102	docs/thought-experiments/TE-mipat-branch-protection-posture.md	docs/thought-experiments/TE-20260429-165102-branch-protection-posture.md
tibas	TE	TE-20	TE-20260429-165103	docs/thought-experiments/TE-tibas-bot-review-style.md	docs/thought-experiments/TE-20260429-165103-bot-review-style.md
misul	TODO	TODO-6	TODO-20260429-165252	protocols/wire-lab.d/TODO/TODO-misul-backfill-di-provenance-harness-spec.md	protocols/wire-lab.d/TODO/TODO-20260429-165252-backfill-di-provenance-harness-spec.md
diliz	TODO	TODO-7	TODO-20260429-165253	protocols/wire-lab.d/TODO/TODO-diliz-backfill-dr-harness-spec-section-11.md	protocols/wire-lab.d/TODO/TODO-20260429-165253-backfill-dr-harness-spec-section-11.md
hazov	TODO	TODO-8	TODO-20260429-171012	protocols/wire-lab.d/TODO/TODO-hazov-merge-ppx-merge-all-20260429-164729.md	protocols/wire-lab.d/TODO/TODO-20260429-171012-merge-ppx-merge-all-20260429-164729.md
golad	TODO	TODO-9	TODO-20260429-173504	protocols/wire-lab.d/TODO/TODO-golad-ppx-main-integration-branch.md	protocols/wire-lab.d/TODO/TODO-20260429-173504-ppx-main-integration-branch.md
nibar	TE	TE-21	TE-20260429-173520	docs/thought-experiments/TE-nibar-spec-doc-as-promise.md	docs/thought-experiments/TE-20260429-173520-spec-doc-as-promise.md
kulih	TODO	TODO-10	TODO-20260429-173837	protocols/wire-lab.d/TODO/TODO-kulih-te-spec-doc-as-promise.md	protocols/wire-lab.d/TODO/TODO-20260429-173837-te-spec-doc-as-promise.md
rujak	TE	TE-22	TE-20260429-175530	docs/thought-experiments/TE-rujak-spec-doc-store-and-pcid-machinery.md	docs/thought-experiments/TE-20260429-175530-spec-doc-store-and-pcid-machinery.md
nivus	TODO	TODO-11	TODO-20260429-180020	protocols/wire-lab.d/TODO/TODO-nivus-te-spec-doc-store-and-pcid-machinery.md	protocols/wire-lab.d/TODO/TODO-20260429-180020-te-spec-doc-store-and-pcid-machinery.md
lozip	TE	TE-23	TE-20260430-064307	docs/thought-experiments/TE-lozip-congruence-convergence-duality-and-pcid-framing.md	docs/thought-experiments/TE-20260430-064307-congruence-convergence-duality-and-pcid-framing.md
hogus	TE	TE-24	TE-20260430-204108	docs/thought-experiments/TE-hogus-group-transport-envelope.md	docs/thought-experiments/TE-20260430-204108-group-transport-envelope.md
titur	TE	TE-25	TE-20260430-213447	docs/thought-experiments/TE-titur-te-numbering-collision-and-harness-spec-path.md	docs/thought-experiments/TE-20260430-213447-te-numbering-collision-and-harness-spec-path.md
zalut	TE	TE-26	TE-20260430-215624	docs/thought-experiments/TE-zalut-channel-transport-types-and-threaded-replies.md	docs/thought-experiments/TE-20260430-215624-channel-transport-types-and-threaded-replies.md
junil	TE	TE-27	TE-20260501-021921	docs/thought-experiments/TE-junil-transports-rename-and-axes-of-differentiation.md	docs/thought-experiments/TE-20260501-021921-transports-rename-and-axes-of-differentiation.md
bisur	TODO	TODO-12	TODO-20260501-045543	protocols/group-session.d/TODO/TODO-bisur-group-transport-envelope.md	protocols/group-session.d/TODO/TODO-20260501-045543-group-transport-envelope.md
motof	TODO	TODO-13	TODO-20260501-045544	protocols/wire-lab.d/TODO/TODO-motof-transports-carveout.md	protocols/wire-lab.d/TODO/TODO-20260501-045544-transports-carveout.md
dajot	TE	TE-28	TE-20260501-202713	docs/thought-experiments/TE-dajot-100-year-goal-as-design-constraint.md	docs/thought-experiments/TE-20260501-202713-100-year-goal-as-design-constraint.md
vipir	TE	TE-29	TE-20260501-215027	docs/thought-experiments/TE-vipir-protocols-as-simulated-repos-and-binding-layer.md	docs/thought-experiments/TE-20260501-215027-protocols-as-simulated-repos-and-binding-layer.md
vuhuj	TODO	TODO-14	TODO-20260501-215519	protocols/wire-lab.d/TODO/TODO-vuhuj-protocols-as-simulated-repos-migration.md	protocols/wire-lab.d/TODO/TODO-20260501-215519-protocols-as-simulated-repos-migration.md
jodon	TODO	TODO-18	TODO-20260501-224805	protocols/udp-binding.d/TODO/TODO-jodon-udp-binding-v0-reference-implementation.md	protocols/udp-binding.d/TODO/TODO-20260501-224805-udp-binding-v0-reference-implementation.md
bihon	TODO	TODO-19	TODO-20260501-224806	protocols/wire-lab.d/TODO/TODO-bihon-ns3-harness-scaffold.md	protocols/wire-lab.d/TODO/TODO-20260501-224806-ns3-harness-scaffold.md
bulaj	TODO	TODO-15	TODO-20260501-230130	protocols/wire-lab.d/TODO/TODO-bulaj-dr-todo-di-absorption-RETIRED.md	protocols/wire-lab.d/TODO/TODO-20260501-230130-dr-todo-di-absorption-RETIRED.md
pozig	TODO	TODO-16	TODO-20260501-230131	protocols/ppx-dr.d/TODO/TODO-pozig-proposals-as-transport-messages-BLOCKED.md	protocols/ppx-dr.d/TODO/TODO-20260501-230131-proposals-as-transport-messages-BLOCKED.md
losoh	TODO	TODO-17	TODO-20260501-230132	protocols/wire-lab.d/TODO/TODO-losoh-group-transport-rename-FOLDED.md	protocols/wire-lab.d/TODO/TODO-20260501-230132-group-transport-rename-FOLDED.md
magup	TE	TE-30	TE-20260502-002548	docs/thought-experiments/TE-magup-todo-numbering-and-per-protocol-shape.md	docs/thought-experiments/TE-20260502-002548-todo-numbering-and-per-protocol-shape.md
zukug	TE	TE-31	TE-20260502-004924	docs/thought-experiments/TE-zukug-spec-doc-inversion-and-conformance-changelog.md	docs/thought-experiments/TE-20260502-004924-spec-doc-inversion-and-conformance-changelog.md
liviv	TE	TE-32	TE-20260502-014525	docs/thought-experiments/TE-liviv-spec-vs-implementation-split.md	docs/thought-experiments/TE-20260502-014525-spec-vs-implementation-split.md
potar	TE	TE-33	TE-20260502-020439	docs/thought-experiments/TE-potar-spec-doc-informative-references.md	docs/thought-experiments/TE-20260502-020439-spec-doc-informative-references.md
dabol	TE	TE-34	TE-20260502-212810	docs/thought-experiments/TE-dabol-te-editing-policy-and-holistic-corpus.md	docs/thought-experiments/TE-20260502-212810-te-editing-policy-and-holistic-corpus.md
dinub	TODO	TODO-20	TODO-20260502-213103	protocols/wire-lab.d/TODO/TODO-dinub-te-editing-policy-and-holistic-corpus.md	protocols/wire-lab.d/TODO/TODO-20260502-213103-te-editing-policy-and-holistic-corpus.md
vudaf	TE	TE-35	TE-20260502-232651	docs/thought-experiments/TE-vudaf-editing-policy-tabletop.md	docs/thought-experiments/TE-20260502-232651-editing-policy-tabletop.md
havib	TE	TE-36	TE-20260503-022446	docs/thought-experiments/TE-havib-apparatus-vs-specimen-carve-out.md	docs/thought-experiments/TE-20260503-022446-apparatus-vs-specimen-carve-out.md
lilar	TODO	TODO-21	TODO-20260504-170746	protocols/wire-lab.d/TODO/TODO-lilar-session-replay-cleanup.md	protocols/wire-lab.d/TODO/TODO-20260504-170746-session-replay-cleanup.md
numan	TE	TE-37	TE-20260506-041241	docs/thought-experiments/TE-numan-transport-protocol-migration-semantics.md	docs/thought-experiments/TE-20260506-041241-transport-protocol-migration-semantics.md
sihih	TE	TE-38	TE-20260506-184800	docs/thought-experiments/TE-sihih-substrate-agnostic-layered-model.md	docs/thought-experiments/TE-20260506-184800-substrate-agnostic-layered-model.md
vunub	TODO	TODO-22	TODO-20260506-184800	protocols/wire-lab.d/TODO/TODO-vunub-te-38-substrate-agnostic-layered-model.md	protocols/wire-lab.d/TODO/TODO-20260506-184800-te-38-substrate-agnostic-layered-model.md
sinuv	TODO	TODO-31	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-sinuv-anticipated-future-tes-transport-family.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-anticipated-future-tes-transport-family.md
lilok	TODO	TODO-23	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-lilok-te-36-followon-oq-and-tabletop-walk.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-36-followon-oq-and-tabletop-walk.md
pipus	TODO	TODO-24	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-pipus-te-39-wire-lab-devs-migration.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-39-wire-lab-devs-migration.md
kugod	TODO	TODO-25	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-kugod-te-40-apparatus-vs-specimen-completion.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-40-apparatus-vs-specimen-completion.md
turog	TODO	TODO-26	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-turog-te-41-group-session-freeze-procedure.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-41-group-session-freeze-procedure.md
duvuk	TODO	TODO-27	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-duvuk-te-42-filename-cid-cascade-policy.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-42-filename-cid-cascade-policy.md
kituj	TODO	TODO-28	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-kituj-te-43-promisebase-prior-art-adoption.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-43-promisebase-prior-art-adoption.md
dozak	TODO	TODO-29	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-dozak-te-44-wire-lab-promisebase-merge-trajectory.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-44-wire-lab-promisebase-merge-trajectory.md
ralud	TODO	TODO-30	TODO-20260507-002306	protocols/wire-lab.d/TODO/TODO-ralud-te-45-conditional-release-geofencing.md	protocols/wire-lab.d/TODO/TODO-20260507-002306-te-45-conditional-release-geofencing.md
bahaf	TODO	TODO-32	TODO-20260507-025635	protocols/wire-lab.d/TODO/TODO-bahaf-te-39-naming-reconciliation.md	protocols/wire-lab.d/TODO/TODO-20260507-025635-te-39-naming-reconciliation.md
