run_group_id,sim_id,scenario_id,model_id,sim_path,scenario_path,result_dir,result_path_template,status
canary-20260519-031017,SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes,spec-requirement-sections-boilerplate-failure,openai-gpt-5.3-codex-xhigh,simulations/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/,scenarios/spec-requirement-sections-boilerplate-failure/spec-requirement-sections-boilerplate-failure.md,results/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/spec-requirement-sections-boilerplate-failure/openai-gpt-5.3-codex-xhigh/,results/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/spec-requirement-sections-boilerplate-failure/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-tohol-grid-envelope-enc-dag-cbor-unknown-hard-reject-sig-mandatory-opaque-bytes,spec-requirement-sections-high-level-promise-protocol,openai-gpt-5.3-codex-xhigh,simulations/SIM-tohol-grid-envelope-enc-dag-cbor-unknown-hard-reject-sig-mandatory-opaque-bytes/,scenarios/spec-requirement-sections-high-level-promise-protocol/spec-requirement-sections-high-level-promise-protocol.md,results/SIM-tohol-grid-envelope-enc-dag-cbor-unknown-hard-reject-sig-mandatory-opaque-bytes/spec-requirement-sections-high-level-promise-protocol/openai-gpt-5.3-codex-xhigh/,results/SIM-tohol-grid-envelope-enc-dag-cbor-unknown-hard-reject-sig-mandatory-opaque-bytes/spec-requirement-sections-high-level-promise-protocol/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes,cas-object-model-small-object-degenerate-case,openai-gpt-5.3-codex-xhigh,simulations/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/,scenarios/cas-object-model-small-object-degenerate-case/cas-object-model-small-object-degenerate-case.md,results/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/cas-object-model-small-object-degenerate-case/openai-gpt-5.3-codex-xhigh/,results/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/cas-object-model-small-object-degenerate-case/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-ruzil-grid-envelope-enc-dag-cbor-unknown-opaque-sig-mandatory-opaque-bytes,transport-family-bakeoff-large-n-receipts,openai-gpt-5.3-codex-xhigh,simulations/SIM-ruzil-grid-envelope-enc-dag-cbor-unknown-opaque-sig-mandatory-opaque-bytes/,scenarios/transport-family-bakeoff-large-n-receipts/transport-family-bakeoff-large-n-receipts.md,results/SIM-ruzil-grid-envelope-enc-dag-cbor-unknown-opaque-sig-mandatory-opaque-bytes/transport-family-bakeoff-large-n-receipts/openai-gpt-5.3-codex-xhigh/,results/SIM-ruzil-grid-envelope-enc-dag-cbor-unknown-opaque-sig-mandatory-opaque-bytes/transport-family-bakeoff-large-n-receipts/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-fonol-grid-envelope-enc-dag-cbor-unknown-best-effort-sig-mandatory-opaque-bytes,promisebase-reference-naming-name-collision,openai-gpt-5.3-codex-xhigh,simulations/SIM-fonol-grid-envelope-enc-dag-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/,scenarios/promisebase-reference-naming-name-collision/promisebase-reference-naming-name-collision.md,results/SIM-fonol-grid-envelope-enc-dag-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/promisebase-reference-naming-name-collision/openai-gpt-5.3-codex-xhigh/,results/SIM-fonol-grid-envelope-enc-dag-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/promisebase-reference-naming-name-collision/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-jomag-cas-object-model,decentralized-supply-chain,openai-gpt-5.3-codex-xhigh,simulations/SIM-jomag-cas-object-model/,scenarios/decentralized-supply-chain/decentralized-supply-chain.md,results/SIM-jomag-cas-object-model/decentralized-supply-chain/openai-gpt-5.3-codex-xhigh/,results/SIM-jomag-cas-object-model/decentralized-supply-chain/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-jurar-cas-backed-group-session,energy-grid-coordination,openai-gpt-5.3-codex-xhigh,simulations/SIM-jurar-cas-backed-group-session/,scenarios/energy-grid-coordination/energy-grid-coordination.md,results/SIM-jurar-cas-backed-group-session/energy-grid-coordination/openai-gpt-5.3-codex-xhigh/,results/SIM-jurar-cas-backed-group-session/energy-grid-coordination/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-hugoj-cas-usenetlike-gitlike,decentralized-manufacturing,openai-gpt-5.3-codex-xhigh,simulations/SIM-hugoj-cas-usenetlike-gitlike/,scenarios/decentralized-manufacturing/decentralized-manufacturing.md,results/SIM-hugoj-cas-usenetlike-gitlike/decentralized-manufacturing/openai-gpt-5.3-codex-xhigh/,results/SIM-hugoj-cas-usenetlike-gitlike/decentralized-manufacturing/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0,chunking-identity-bakeoff-raw-only-migration,openai-gpt-5.3-codex-xhigh,simulations/SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0/,scenarios/chunking-identity-bakeoff-raw-only-migration/chunking-identity-bakeoff-raw-only-migration.md,results/SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0/chunking-identity-bakeoff-raw-only-migration/openai-gpt-5.3-codex-xhigh/,results/SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0/chunking-identity-bakeoff-raw-only-migration/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-punaz-bgp-class-routing-app,machine-equipment-access,openai-gpt-5.3-codex-xhigh,simulations/SIM-punaz-bgp-class-routing-app/,scenarios/machine-equipment-access/machine-equipment-access.md,results/SIM-punaz-bgp-class-routing-app/machine-equipment-access/openai-gpt-5.3-codex-xhigh/,results/SIM-punaz-bgp-class-routing-app/machine-equipment-access/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
